Vial ID;Customer Evaluation;Machine Evaluation;Rejected;Samples;Single Stations Rejections;
1;88;100;10;10;
2;80;100;10;10;
3;90;100;10;10;
4;96;100;10;10;
5;70;100;10;10;
6;96;100;10;10;
7;84;100;10;10;
8;88;100;10;10;
9;72;100;10;10;
10;94;100;10;10;
11;98;100;10;10;
12;94;100;10;10;
13;74;100;10;10;
14;64;100;10;10;
15;76;100;10;10;
16;34;100;10;10;
17;76;100;10;10;
18;78;100;10;10;
19;88;100;10;10;
20;68;100;10;10;
21;98;100;10;10;
22;90;100;10;10;
23;84;0;0;10;
24;88;10;1;10;
25;94;100;10;10;
26;90;100;10;10;
27;82;100;10;10;
28;74;100;10;10;
29;70;100;10;10;
30;64;100;10;10;
31;94;100;10;10;
32;78;100;10;10;
33;90;100;10;10;
34;72;90;9;10;
35;50;100;10;10;
36;74;100;10;10;
37;56;100;10;10;
38;78;100;10;10;
39;82;100;10;10;
40;42;70;7;10;
41;72;-1;0;0;
42;70;-1;0;0;
43;66;-1;0;0;
44;56;-1;0;0;
45;66;-1;0;0;
46;68;-1;0;0;
47;80;-1;0;0;
48;74;-1;0;0;
49;70;-1;0;0;
50;18;-1;0;0;
51;76;-1;0;0;
52;98;-1;0;0;
53;70;-1;0;0;
54;64;-1;0;0;
55;84;-1;0;0;
56;56;-1;0;0;
57;96;-1;0;0;
58;76;-1;0;0;
59;78;-1;0;0;
60;94;-1;0;0;
61;22;-1;0;0;
62;60;-1;0;0;
63;68;-1;0;0;
64;52;-1;0;0;
65;96;-1;0;0;
66;92;-1;0;0;
67;82;-1;0;0;
68;92;-1;0;0;
69;98;-1;0;0;
70;76;-1;0;0;
71;100;-1;0;0;
72;94;-1;0;0;
73;96;-1;0;0;
74;74;-1;0;0;
75;82;-1;0;0;
76;40;-1;0;0;
77;94;-1;0;0;
78;90;-1;0;0;
79;82;-1;0;0;
80;72;-1;0;0;
