Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Numero di frames;0;100;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Tempo di esposizione [us];1000;10000;1
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Guadagno;0;1023;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;On/Off Strobo;0;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Tempo di accensione strobo [us];1000;10000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Ritardo acquisizione [us];0;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Guadagno blu;250;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Guadagno rosso;250;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Guadagno verde;250;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Pin di Uscita strobo;1;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Ingresso trigger;0;1000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;Abilitazione A.O.I.;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;A.O.I. X Start;576;1023;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;A.O.I. Y Start;0;767;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;A.O.I. Intervallo X;896;1024;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;AcquisitionParameter;A.O.I. Intervallo Y;2048;2048;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;M12 Analisi;3;5;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Risultato abilitato a display;5;17;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Abilitazione display analisi anelli;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Abilita testina M12;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Tipo Analisi FlipOff;1;5;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Tipo Analisi ghiera;2;4;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Tipo Analisi crimpatura;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Tipo rilevamento FlipOff;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Tipo Analisi FlipOff;0;4;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Selezione canale colore;3;12;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;Abilita presenza flipOff;1;2;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;On/Off Debug Info;1;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;FeaturesEnableParameter;On/Off Salvataggio Img;0;1;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;LowValue BinBlob;0;10000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Area Minima BinBlol;500;10000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Lut Hight Tip inspection;200;255;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Lut Low Tip inspection;0;255;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Soglia contrasto Rings;130;255;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Soglia altezza anelli;30;10000;0
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Colore Hue anello 1;-100;255;-255
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Colore Hue anello 2;150;255;-255
ST0 - CAM0 - TIP/ALUSEAL INSPECTION;RecipeSimpleParameter;Colore Hue anello 3;200;255;-255
