Vial ID;Customer Evaluation;Machine Evaluation;Rejected;Samples;Single Stations Rejections;
1;70;-1;0;0;
2;36;-1;0;0;
3;84;-1;0;0;
4;52;-1;0;0;
5;64;-1;0;0;
6;42;-1;0;0;
7;98;-1;0;0;
8;62;-1;0;0;
9;90;-1;0;0;
10;66;-1;0;0;
11;42;-1;0;0;
12;28;-1;0;0;
13;44;-1;0;0;
14;36;-1;0;0;
15;74;-1;0;0;
16;88;-1;0;0;
17;30;-1;0;0;
18;30;-1;0;0;
19;72;-1;0;0;
20;100;-1;0;0;
21;48;-1;0;0;
22;48;-1;0;0;
23;62;-1;0;0;
24;-1;-1;0;0;
25;48;-1;0;0;
26;34;-1;0;0;
27;32;-1;0;0;
28;80;-1;0;0;
29;94;-1;0;0;
30;44;-1;0;0;
31;48;-1;0;0;
32;88;-1;0;0;
33;44;-1;0;0;
34;58;-1;0;0;
35;68;-1;0;0;
36;68;-1;0;0;
37;84;-1;0;0;
38;64;-1;0;0;
39;60;-1;0;0;
40;40;-1;0;0;
41;56;80;8;10;
42;58;60;6;10;
43;72;100;10;10;
44;94;70;7;10;
45;88;100;10;10;
46;46;20;2;10;
47;64;100;10;10;
48;76;70;7;10;
49;74;100;10;10;
50;98;100;10;10;
51;96;100;10;10;
52;78;70;7;10;
53;76;100;10;10;
54;58;90;9;10;
55;94;100;10;10;
56;82;80;8;10;
57;76;90;9;10;
58;52;80;8;10;
59;78;100;10;10;
60;82;100;10;10;
61;78;100;10;10;
62;68;60;6;10;
63;60;100;10;10;
64;98;100;10;10;
65;98;100;10;10;
66;100;100;10;10;
67;100;100;10;10;
68;96;100;10;10;
69;100;100;10;10;
70;84;100;10;10;
71;100;100;10;10;
72;98;100;10;10;
73;100;100;10;10;
74;100;100;10;10;
75;100;100;10;10;
76;100;100;10;10;
77;100;100;10;10;
78;100;100;10;10;
79;100;100;10;10;
80;100;100;10;10;
